"","Var1","Var2","Var3","Freq","y"
"1","1","1","1",108,"RGB1"
"2","2","1","1",986,"RGB2"
"3","3","1","1",2572,"RGB3"
"4","4","1","1",2612,"RGB4"
"5","5","1","1",625,"RGB5"
"6","6","1","1",13,"RGB6"
"7","7","1","1",0,"RGB7"
"8","8","1","1",0,"RGB8"
"9","9","1","1",0,"RGB9"
"10","10","1","1",0,"RGB10"
"11","1","2","1",0,"RGB11"
"12","2","2","1",219,"RGB12"
"13","3","2","1",311,"RGB13"
"14","4","2","1",1920,"RGB14"
"15","5","2","1",4802,"RGB15"
"16","6","2","1",3802,"RGB16"
"17","7","2","1",665,"RGB17"
"18","8","2","1",21,"RGB18"
"19","9","2","1",0,"RGB19"
"20","10","2","1",0,"RGB20"
"21","1","3","1",0,"RGB21"
"22","2","3","1",0,"RGB22"
"23","3","3","1",0,"RGB23"
"24","4","3","1",0,"RGB24"
"25","5","3","1",73,"RGB25"
"26","6","3","1",1741,"RGB26"
"27","7","3","1",3471,"RGB27"
"28","8","3","1",1347,"RGB28"
"29","9","3","1",13,"RGB29"
"30","10","3","1",0,"RGB30"
"31","1","4","1",0,"RGB31"
"32","2","4","1",0,"RGB32"
"33","3","4","1",0,"RGB33"
"34","4","4","1",0,"RGB34"
"35","5","4","1",0,"RGB35"
"36","6","4","1",1,"RGB36"
"37","7","4","1",24,"RGB37"
"38","8","4","1",84,"RGB38"
"39","9","4","1",9,"RGB39"
"40","10","4","1",0,"RGB40"
"41","1","5","1",0,"RGB41"
"42","2","5","1",0,"RGB42"
"43","3","5","1",0,"RGB43"
"44","4","5","1",0,"RGB44"
"45","5","5","1",0,"RGB45"
"46","6","5","1",0,"RGB46"
"47","7","5","1",0,"RGB47"
"48","8","5","1",0,"RGB48"
"49","9","5","1",0,"RGB49"
"50","10","5","1",0,"RGB50"
"51","1","6","1",0,"RGB51"
"52","2","6","1",0,"RGB52"
"53","3","6","1",0,"RGB53"
"54","4","6","1",0,"RGB54"
"55","5","6","1",0,"RGB55"
"56","6","6","1",0,"RGB56"
"57","7","6","1",0,"RGB57"
"58","8","6","1",0,"RGB58"
"59","9","6","1",0,"RGB59"
"60","10","6","1",0,"RGB60"
"61","1","7","1",0,"RGB61"
"62","2","7","1",0,"RGB62"
"63","3","7","1",0,"RGB63"
"64","4","7","1",0,"RGB64"
"65","5","7","1",0,"RGB65"
"66","6","7","1",0,"RGB66"
"67","7","7","1",0,"RGB67"
"68","8","7","1",0,"RGB68"
"69","9","7","1",0,"RGB69"
"70","10","7","1",0,"RGB70"
"71","1","8","1",0,"RGB71"
"72","2","8","1",0,"RGB72"
"73","3","8","1",0,"RGB73"
"74","4","8","1",0,"RGB74"
"75","5","8","1",0,"RGB75"
"76","6","8","1",0,"RGB76"
"77","7","8","1",0,"RGB77"
"78","8","8","1",0,"RGB78"
"79","9","8","1",0,"RGB79"
"80","10","8","1",0,"RGB80"
"81","1","1","2",1,"RGB81"
"82","2","1","2",9,"RGB82"
"83","3","1","2",27,"RGB83"
"84","4","1","2",6,"RGB84"
"85","5","1","2",0,"RGB85"
"86","6","1","2",0,"RGB86"
"87","7","1","2",0,"RGB87"
"88","8","1","2",0,"RGB88"
"89","9","1","2",0,"RGB89"
"90","10","1","2",0,"RGB90"
"91","1","2","2",0,"RGB91"
"92","2","2","2",12,"RGB92"
"93","3","2","2",328,"RGB93"
"94","4","2","2",536,"RGB94"
"95","5","2","2",1220,"RGB95"
"96","6","2","2",530,"RGB96"
"97","7","2","2",35,"RGB97"
"98","8","2","2",0,"RGB98"
"99","9","2","2",0,"RGB99"
"100","10","2","2",0,"RGB100"
"101","1","3","2",0,"RGB101"
"102","2","3","2",0,"RGB102"
"103","3","3","2",8,"RGB103"
"104","4","3","2",9,"RGB104"
"105","5","3","2",534,"RGB105"
"106","6","3","2",3550,"RGB106"
"107","7","3","2",7938,"RGB107"
"108","8","3","2",5352,"RGB108"
"109","9","3","2",38,"RGB109"
"110","10","3","2",0,"RGB110"
"111","1","4","2",0,"RGB111"
"112","2","4","2",0,"RGB112"
"113","3","4","2",0,"RGB113"
"114","4","4","2",0,"RGB114"
"115","5","4","2",0,"RGB115"
"116","6","4","2",8,"RGB116"
"117","7","4","2",1408,"RGB117"
"118","8","4","2",5837,"RGB118"
"119","9","4","2",793,"RGB119"
"120","10","4","2",0,"RGB120"
"121","1","5","2",0,"RGB121"
"122","2","5","2",0,"RGB122"
